Sample name,project,AA amplicon number,Feature ID,Classification,Location,Oncogenes,All genes,Complexity score,Captured interval length,Feature median copy number,Feature maximum copy number,Filter flag,Reference version
TCGA-06-0155-01B-01D-0932-09_MN_10A-01D-0703,GBM,2.0,TCGA-06-0155-01B-01D-0932-09_MN_10A-01D-0703_amplicon2_ecDNA_1,ecDNA,"['7:54493064-55286756', '7:55289067-55476241']",['EGFR'],"['EGFR', 'LANCL2', 'SEC61G', 'VSTM2A']",0.749582582,980866.0,10.92010292,14.94668099,,GRCh37
TCGA-06-0157-01A-01D-1491-08_MN_10A-01D-1491,GBM,1.0,TCGA-06-0157-01A-01D-1491-08_MN_10A-01D-1491_amplicon1_ecDNA_1,ecDNA,"['1:204034007-204826293', '7:54712910-55433059']","['EGFR', 'MDM4']","['EGFR', 'ETNK2', 'GOLT1A', 'KISS1', 'LRRN2', 'MDM4', 'NFASC', 'PIK3C2B', 'PLEKHA6', 'PPP1R15B', 'REN', 'SEC61G', 'SOX13']",0.995623587,1512435.0,54.2696644,103.6118159,,GRCh37
TCGA-06-0157-01A-01D-1491-08_MN_10A-01D-1491,GBM,1.0,TCGA-06-0157-01A-01D-1491-08_MN_10A-01D-1491_amplicon1_ecDNA_2,ecDNA,['12:57910145-58713013'],"['AGAP2', 'CDK4', 'DDIT3']","['AGAP2', 'AVIL', 'B4GALNT1', 'CDK4', 'CTDSP2', 'CYP27B1', 'DCTN2', 'DDIT3', 'DTX3', 'FAM119B', 'GEFT', 'KIF5A', 'MARCH9', 'MBD6', 'METTL1', 'OS9', 'PIP4K2C', 'SLC26A10', 'TSFM', 'TSPAN31', 'XRCC6BP1']",0.356947075,802868.0,14.22191061,26.06465789,,GRCh37
TCGA-06-0157-01A-01D-1491-08_MN_10A-01D-1491,GBM,2.0,TCGA-06-0157-01A-01D-1491-08_MN_10A-01D-1491_amplicon2_ecDNA_1,ecDNA,['12:3258578-4432810'],['CCND2'],"['C12orf5', 'CCND2', 'EFCAB4B', 'PARP11', 'PRMT8']",0.366862737,1174232.0,10.36075684,10.36075684,,GRCh37
TCGA-06-0185-01A-01D-0507-08_MN_10B-01D-0507,GBM,1.0,TCGA-06-0185-01A-01D-0507-08_MN_10B-01D-0507_amplicon1_ecDNA_1,ecDNA,['7:54586101-55866488'],['EGFR'],"['EGFR', 'FKBP9L', 'LANCL2', 'SEC61G', 'VOPP1', 'VSTM2A']",0.31563798,1280387.0,46.22474693,67.41667803,,GRCh37
TCGA-06-0190-02A-01D-2280-08_MN_10B-01D-A32W,GBM,1.0,TCGA-06-0190-02A-01D-2280-08_MN_10B-01D-A32W_amplicon1_ecDNA_1,ecDNA,"['9:11129363-13344640', '9:13345468-14992114']","['NFIB', 'TYRP1']","['C9orf150', 'CER1', 'FLJ41200', 'FREM1', 'MPDZ', 'NFIB', 'TYRP1', 'ZDHHC21']",0.322880355,3861923.0,11.2886187,12.27092322,,GRCh37
TCGA-06-0208-01A-01D-0512-09_MN_10A-01D-0512,GBM,1.0,TCGA-06-0208-01A-01D-0512-09_MN_10A-01D-0512_amplicon1_ecDNA_1,ecDNA,"['7:54016738-55286762', '7:55289056-56217752', '7:56220244-56226534']",['EGFR'],"['CCT6A', 'CHCHD2', 'EGFR', 'FKBP9L', 'GBAS', 'HPVC1', 'LANCL2', 'MRPS17', 'PHKG1', 'PSPH', 'SEC61G', 'SEPT14', 'SNORA15', 'SUMF2', 'VOPP1', 'VSTM2A', 'ZNF713']",0.273328829,2205010.0,39.26637531,39.26637531,,GRCh37
TCGA-06-0210-01A-01D-1491-08_MN_10A-01D-1491,GBM,1.0,TCGA-06-0210-01A-01D-1491-08_MN_10A-01D-1491_amplicon1_ecDNA_2,ecDNA,['4:54365113-55629857'],"['CHIC2', 'KIT', 'PDGFRA']","['CHIC2', 'GSX2', 'KIT', 'LNX1', 'PDGFRA', 'RPL21P44']",0.339771241,1264744.0,5.250020068,5.250020068,LowCN,GRCh37
TCGA-06-0210-01A-01D-1491-08_MN_10A-01D-1491,GBM,1.0,TCGA-06-0210-01A-01D-1491-08_MN_10A-01D-1491_amplicon1_ecDNA_1,ecDNA,['1:203277967-204857658'],['MDM4'],"['ATP2B4', 'C1orf157', 'ETNK2', 'FMOD', 'GOLT1A', 'KISS1', 'LAX1', 'LRRN2', 'MDM4', 'NFASC', 'OPTC', 'PIK3C2B', 'PLEKHA6', 'PPP1R15B', 'PRELP', 'REN', 'SNORA77', 'SNRPE', 'SOX13', 'ZBED6', 'ZC3H11A']",0.238617635,1579691.0,24.19695953,24.73383325,,GRCh37
TCGA-06-0210-01A-01D-1491-08_MN_10A-01D-1491,GBM,2.0,TCGA-06-0210-01A-01D-1491-08_MN_10A-01D-1491_amplicon2_ecDNA_1,ecDNA,"['13:103598980-103736400', '13:112691700-112730840', '2:4967279-5014743', '2:5233210-5236056', '2:5240889-5241464', '2:5246496-5380351']",[],"['SLC10A2', 'SOX1']",0.296063498,361300.0,8.93988088,14.51463436,,GRCh37
TCGA-06-0210-02A-01D-2280-08_MN_10A-01D-1491,GBM,1.0,TCGA-06-0210-02A-01D-2280-08_MN_10A-01D-1491_amplicon1_ecDNA_1,ecDNA,['1:203277971-204857658'],['MDM4'],"['ATP2B4', 'C1orf157', 'ETNK2', 'FMOD', 'GOLT1A', 'KISS1', 'LAX1', 'LRRN2', 'MDM4', 'NFASC', 'OPTC', 'PIK3C2B', 'PLEKHA6', 'PPP1R15B', 'PRELP', 'REN', 'SNORA77', 'SNRPE', 'SOX13', 'ZBED6', 'ZC3H11A']",0.359013484,1579687.0,5.026400893,5.026400893,LowCN,GRCh37
TCGA-06-0211-01A-01D-1491-08_MN_10A-01D-1491,GBM,1.0,TCGA-06-0211-01A-01D-1491-08_MN_10A-01D-1491_amplicon1_ecDNA_1,ecDNA,['4:54654931-55548488'],"['CHIC2', 'KIT', 'PDGFRA']","['CHIC2', 'GSX2', 'KIT', 'PDGFRA', 'RPL21P44']",0.700986299,893557.0,8.409407471,9.850167766,,GRCh37
TCGA-06-0211-01A-01D-1491-08_MN_10A-01D-1491,GBM,2.0,TCGA-06-0211-01A-01D-1491-08_MN_10A-01D-1491_amplicon2_ecDNA_1,ecDNA,['7:54659089-55897566'],['EGFR'],"['EGFR', 'FKBP9L', 'LANCL2', 'SEC61G', 'VOPP1']",0.200637354,1238477.0,39.74759877,112.9522396,,GRCh37
TCGA-06-0211-02A-02D-2280-08_MN_10A-01D-1491,GBM,1.0,TCGA-06-0211-02A-02D-2280-08_MN_10A-01D-1491_amplicon1_ecDNA_1,ecDNA,['4:54654901-55548488'],"['CHIC2', 'KIT', 'PDGFRA']","['CHIC2', 'GSX2', 'KIT', 'PDGFRA', 'RPL21P44']",0.24260696,893587.0,18.58531158,18.58531158,,GRCh37
TCGA-06-0214-01A-02D-0512-09_MN_10A-01D-0512,GBM,1.0,TCGA-06-0214-01A-02D-0512-09_MN_10A-01D-0512_amplicon1_ecDNA_1,ecDNA,['4:54373627-55293945'],"['CHIC2', 'PDGFRA']","['CHIC2', 'GSX2', 'LNX1', 'PDGFRA', 'RPL21P44']",0.328709889,920318.0,17.15749625,17.77054001,,GRCh37
TCGA-06-0214-01A-02D-0512-09_MN_10A-01D-0512,GBM,2.0,TCGA-06-0214-01A-02D-0512-09_MN_10A-01D-0512_amplicon2_ecDNA_1,ecDNA,"['7:54720332-55286762', '7:55289056-55305512']",['EGFR'],"['EGFR', 'SEC61G']",0.878106141,582886.0,19.07334726,21.39872279,,GRCh37
TCGA-06-0214-01A-02D-0512-09_MN_10A-01D-0512,GBM,3.0,TCGA-06-0214-01A-02D-0512-09_MN_10A-01D-0512_amplicon3_ecDNA_1,ecDNA,['12:69110065-69386310'],['MDM2'],"['CPM', 'MDM2', 'SLC35E3']",0.349475462,276245.0,6.07309085,6.07309085,LowCN,GRCh37
TCGA-06-0214-01A-02D-1491-08_MN_10A-01D-1491,GBM,1.0,TCGA-06-0214-01A-02D-1491-08_MN_10A-01D-1491_amplicon1_ecDNA_1,ecDNA,['4:54373630-55293934'],"['CHIC2', 'PDGFRA']","['CHIC2', 'GSX2', 'LNX1', 'PDGFRA', 'RPL21P44']",0.341313153,920304.0,15.91565085,15.91565085,,GRCh37
TCGA-06-0214-01A-02D-1491-08_MN_10A-01D-1491,GBM,2.0,TCGA-06-0214-01A-02D-1491-08_MN_10A-01D-1491_amplicon2_ecDNA_1,ecDNA,['7:54720334-55305516'],['EGFR'],"['EGFR', 'SEC61G']",0.633614805,585182.0,18.4145946,18.94451755,,GRCh37
TCGA-06-0214-01A-02D-1491-08_MN_10A-01D-1491,GBM,3.0,TCGA-06-0214-01A-02D-1491-08_MN_10A-01D-1491_amplicon3_ecDNA_1,ecDNA,['12:69110022-69386333'],['MDM2'],"['CPM', 'MDM2', 'SLC35E3']",0.359778151,276311.0,6.042591917,6.042591917,LowCN,GRCh37
TCGA-06-0221-01A-01D-A32W-08_MN_10A-01D-A35R,GBM,1.0,TCGA-06-0221-01A-01D-A32W-08_MN_10A-01D-A35R_amplicon1_ecDNA_1,ecDNA,['4:53290673-56285798'],"['CHIC2', 'FIP1L1', 'KDR', 'KIT', 'PDGFRA']","['CHIC2', 'FIP1L1', 'GSX2', 'KDR', 'KIAA0114', 'KIT', 'LNX1', 'PDGFRA', 'RASL11B', 'RPL21P44', 'SCFD2', 'SNORA26', 'SRD5A3', 'TMEM165', 'USP46']",0.364702069,2995125.0,6.506397061,6.506397061,LowCN,GRCh37
TCGA-06-0686-01A-01D-1492-08_MN_10A-01D-1492,GBM,1.0,TCGA-06-0686-01A-01D-1492-08_MN_10A-01D-1492_amplicon1_ecDNA_1,ecDNA,"['12:57709852-57738921', '12:57757747-58010664', '12:58011600-58130478', '12:63096213-63128447', '12:63170382-63214079', '12:63231786-63396756', '12:63401251-63633118', '12:66541992-66546983', '12:67203963-67282866', '12:67301841-67375785', '12:67556992-67559445', '12:67833691-67947220', '12:67952353-67999115', '12:68385069-68489680', '12:68490673-68597640', '12:68629886-68916513', '12:68919216-69392808', '12:69452631-69556087', '6:43518110-43648425', '6:43694453-44345660', '6:44383028-44569694', '6:44668715-44740589', '6:45418847-45739247', '6:47486844-47506726', '6:47739932-48040763', '6:48196333-48206497', '6:48391008-48404682']","['DDIT3', 'GLI1', 'IFNG', 'MDM2']","['AARS2', 'ARHGAP9', 'AVPR1A', 'B4GALNT1', 'C6orf138', 'C6orf223', 'CAPN11', 'CPM', 'DCTN2', 'DDIT3', 'DTX3', 'GEFT', 'GLI1', 'GTPBP2', 'HSP90AB1', 'IFNG', 'IL22', 'INHBC', 'INHBE', 'KIF5A', 'MAD2L1BP', 'MARS', 'MBD6', 'MDM1', 'MDM2', 'MRPL14', 'NFKBIE', 'NUP107', 'OPN5', 'OS9', 'PIP4K2C', 'POLH', 'PPM1H', 'RAP1B', 'RSPH9', 'SLC26A10', 'SLC29A1', 'SLC35B2', 'SLC35E3', 'SNORA70G', 'SPATS1', 'TCTE1', 'TMEM151B', 'TMEM63B', 'VEGFA', 'XPO5']",0.923749777,3974480.0,17.69376418,132.85216,,GRCh37
TCGA-06-0744-01A-01D-1492-08_MN_10A-01D-1492,GBM,2.0,TCGA-06-0744-01A-01D-1492-08_MN_10A-01D-1492_amplicon2_ecDNA_1,ecDNA,['7:54817993-55307918'],['EGFR'],"['EGFR', 'SEC61G']",0.055483804,489925.0,307.3165175,307.3165175,,GRCh37
TCGA-06-0745-01A-01D-1492-08_MN_10A-01D-1492,GBM,1.0,TCGA-06-0745-01A-01D-1492-08_MN_10A-01D-1492_amplicon1_ecDNA_1,ecDNA,['7:53982098-55369228'],['EGFR'],"['EGFR', 'HPVC1', 'SEC61G', 'VSTM2A']",0.982611298,1387130.0,77.14236016,163.7094579,,GRCh37
TCGA-06-0877-01A-01D-0512-09_MN_10A-01D-0512,GBM,1.0,TCGA-06-0877-01A-01D-0512-09_MN_10A-01D-0512_amplicon1_ecDNA_1,ecDNA,['7:54776599-55314696'],['EGFR'],"['EGFR', 'SEC61G']",0.625613468,538097.0,40.16354699,40.16354699,,GRCh37
TCGA-06-0881-01A-02D-0512-09_MN_10A-01D-0512,GBM,1.0,TCGA-06-0881-01A-02D-0512-09_MN_10A-01D-0512_amplicon1_ecDNA_1,ecDNA,"['7:54149169-54520726', '7:54523624-56038812']",['EGFR'],"['EGFR', 'FKBP9L', 'GBAS', 'HPVC1', 'LANCL2', 'MRPS17', 'SEC61G', 'SEPT14', 'VOPP1', 'VSTM2A', 'ZNF713']",0.357953929,1886745.0,8.707757593,8.707757593,,GRCh37
TCGA-06-2570-01A-01D-1495-08_MN_10A-01D-1495,GBM,1.0,TCGA-06-2570-01A-01D-1495-08_MN_10A-01D-1495_amplicon1_ecDNA_1,ecDNA,['12:57771525-59723121'],"['AGAP2', 'CDK4', 'DDIT3', 'GLI1', 'LRIG3']","['AGAP2', 'ARHGAP9', 'AVIL', 'B4GALNT1', 'CDK4', 'CTDSP2', 'CYP27B1', 'DCTN2', 'DDIT3', 'DTX3', 'FAM119B', 'GEFT', 'GLI1', 'INHBC', 'INHBE', 'KIF5A', 'LRIG3', 'MARCH9', 'MARS', 'MBD6', 'METTL1', 'OS9', 'PIP4K2C', 'SLC26A10', 'TSFM', 'TSPAN31', 'XRCC6BP1']",0.329100868,1951596.0,15.83892135,25.61737435,,GRCh37
TCGA-06-5411-01A-01D-1696-08_MN_10A-01D-1696,GBM,1.0,TCGA-06-5411-01A-01D-1696-08_MN_10A-01D-1696_amplicon1_ecDNA_1,ecDNA,"['1:156844157-158395142', '1:203279285-204951832']","['ETV3', 'MDM4']","['ARHGEF11', 'ATP2B4', 'C1orf157', 'C1orf92', 'CD1A', 'CD1B', 'CD1C', 'CD1D', 'CD1E', 'CD5L', 'CYCSP52', 'ETNK2', 'ETV3', 'ETV3L', 'FCRL1', 'FCRL2', 'FCRL3', 'FCRL4', 'FCRL5', 'FMOD', 'GOLT1A', 'KIRREL', 'KISS1', 'LAX1', 'LRRN2', 'MDM4', 'NFASC', 'OPTC', 'OR10K2', 'OR10T2', 'PEAR1', 'PIK3C2B', 'PLEKHA6', 'PPP1R15B', 'PRELP', 'REN', 'SNORA77', 'SNRPE', 'SOX13', 'ZBED6', 'ZC3H11A']",0.66451889,3223532.0,28.70609936,28.8435386,,GRCh37
TCGA-06-5415-01A-01D-1486-08_MN_10A-01D-1486,GBM,1.0,TCGA-06-5415-01A-01D-1486-08_MN_10A-01D-1486_amplicon1_ecDNA_1,ecDNA,['7:54665337-55429945'],['EGFR'],"['EGFR', 'SEC61G']",0.298969111,764608.0,105.9086242,110.7275253,,GRCh37
TCGA-06-5415-01A-01D-1486-08_MN_10A-01D-1486,GBM,2.0,TCGA-06-5415-01A-01D-1486-08_MN_10A-01D-1486_amplicon2_ecDNA_1,ecDNA,['14:104961483-105316104'],['AKT1'],"['ADSSL1', 'AKT1', 'C14orf180', 'INF2', 'MGC23270', 'SIVA1', 'TMEM179', 'ZBTB42']",0.276227939,354621.0,14.61346503,14.61346503,,GRCh37
TCGA-09-2045-01A-01D-A324-10_MN_11A-01D-A324,OV,1.0,TCGA-09-2045-01A-01D-A324-10_MN_11A-01D-A324_amplicon1_ecDNA_1,ecDNA,['2:20328392-20405827'],[],[],0.329303635,77435.0,5.457571333,5.457571333,LowCN,GRCh37
TCGA-10-0938-01A-02D-A312-08_MN_11A-01D-A312,OV,1.0,TCGA-10-0938-01A-02D-A312-08_MN_11A-01D-A312_amplicon1_ecDNA_1,ecDNA,"['11:71927150-72021763', '11:82249937-82365719', '11:82412701-82828255']",['INPPL1'],"['C11orf82', 'FAM181B', 'FOLR2', 'INPPL1', 'PHOX2A', 'PRCP', 'RAB30', 'SNORA70E']",0.205315616,625949.0,13.66282557,13.66282557,,GRCh37
TCGA-13-0723-01A-02D-0447-09_MN_10B-01D-0447,OV,5.0,TCGA-13-0723-01A-02D-0447-09_MN_10B-01D-0447_amplicon5_ecDNA_1,ecDNA,['14:77499350-77725284'],[],"['KIAA1737', 'TMEM63C', 'ZDHHC22']",0.364001082,225934.0,7.933109707,8.574630103,,GRCh37
TCGA-13-0751-01A-01D-0446-08_MN_10A-01D-0446,OV,8.0,TCGA-13-0751-01A-01D-0446-08_MN_10A-01D-0446_amplicon8_ecDNA_1,ecDNA,['17:77713409-78315641'],['CBX8'],"['CARD14', 'CBX2', 'CBX4', 'CBX8', 'CCDC40', 'EIF4A3', 'GAA', 'RNF213', 'SGSH', 'SLC26A11', 'TBC1D16']",0.663607403,602232.0,6.34689711,6.34689711,LowCN,GRCh37
TCGA-14-1402-01A-01D-1493-08_MN_10A-01D-1493,GBM,3.0,TCGA-14-1402-01A-01D-1493-08_MN_10A-01D-1493_amplicon3_ecDNA_1,ecDNA,"['7:54642176-55813800', '7:75285949-75599936']","['EGFR', 'HIP1']","['CCL24', 'CCL26', 'EGFR', 'FKBP9L', 'HIP1', 'LANCL2', 'POR', 'RHBDD2', 'SEC61G', 'SNORA14A', 'VOPP1']",0.556080714,1485611.0,51.21247843,54.32849295,,GRCh37
TCGA-14-1402-02A-01D-2280-08_MN_10A-01D-1493,GBM,1.0,TCGA-14-1402-02A-01D-2280-08_MN_10A-01D-1493_amplicon1_ecDNA_1,ecDNA,"['7:54642177-55813800', '7:75285949-75599936']","['EGFR', 'HIP1']","['CCL24', 'CCL26', 'EGFR', 'FKBP9L', 'HIP1', 'LANCL2', 'POR', 'RHBDD2', 'SEC61G', 'SNORA14A', 'VOPP1']",1.201634468,1485610.0,52.34446549,54.80553827,,GRCh37
TCGA-14-1459-01A-01D-0932-09_MN_10A-01D-0703,GBM,1.0,TCGA-14-1459-01A-01D-0932-09_MN_10A-01D-0703_amplicon1_ecDNA_1,ecDNA,['1:204262711-205453076'],"['CNTN2', 'MDM4', 'NUAK2']","['CNTN2', 'DSTYK', 'KLHDC8A', 'LEMD1', 'LRRN2', 'MDM4', 'NFASC', 'NUAK2', 'PIK3C2B', 'PLEKHA6', 'PPP1R15B', 'RBBP5', 'TMCC2', 'TMEM81']",0.362778108,1190365.0,9.243545156,10.40345743,,GRCh37
TCGA-14-1459-01A-01D-0932-09_MN_10A-01D-0703,GBM,2.0,TCGA-14-1459-01A-01D-0932-09_MN_10A-01D-0703_amplicon2_ecDNA_1,ecDNA,['7:52839693-55285530'],['EGFR'],"['EGFR', 'HPVC1', 'POM121L12', 'SEC61G', 'VSTM2A']",0.340221194,2445837.0,86.37082125,87.57838333,,GRCh37
TCGA-14-2554-01A-01D-1494-08_MN_10A-01D-1494,GBM,2.0,TCGA-14-2554-01A-01D-1494-08_MN_10A-01D-1494_amplicon2_ecDNA_1,ecDNA,['7:54821405-55278481'],['EGFR'],"['EGFR', 'SEC61G']",0.146364636,457076.0,74.55972434,74.55972434,,GRCh37
TCGA-16-1063-01B-01D-0932-09_MN_10A-01D-0703,GBM,1.0,TCGA-16-1063-01B-01D-0932-09_MN_10A-01D-0703_amplicon1_ecDNA_1,ecDNA,['17:72442590-73624437'],[],"['ARMC7', 'ATP5H', 'C17orf28', 'C17orf77', 'CASKIN2', 'CD300A', 'CD300C', 'CD300E', 'CD300LB', 'CD300LD', 'CD300LF', 'CDR2L', 'FADS6', 'FDXR', 'GGA3', 'GRB2', 'GRIN2C', 'HN1', 'ICT1', 'KCTD2', 'KIAA0195', 'LLGL2', 'MIF4GD', 'MRPS7', 'MYO15B', 'NAT9', 'NT5C', 'NUP85', 'OTOP2', 'OTOP3', 'RAB37', 'SLC16A5', 'SLC25A19', 'SLC9A3R1', 'SUMO2', 'TMEM104', 'TSEN54', 'USH1G']",0.367709061,1181847.0,7.436105304,7.935753825,LowCN,GRCh37
TCGA-16-1063-01B-01D-0932-09_MN_10A-01D-0703,GBM,2.0,TCGA-16-1063-01B-01D-0932-09_MN_10A-01D-0703_amplicon2_ecDNA_1,ecDNA,['7:54779064-55641322'],['EGFR'],"['EGFR', 'LANCL2', 'SEC61G', 'VOPP1']",0.539186469,862258.0,60.72342032,142.0065166,,GRCh37
TCGA-18-3415-01A-01D-A320-08_MN_11A-01D-A320,LUSC,1.0,TCGA-18-3415-01A-01D-A320-08_MN_11A-01D-A320_amplicon1_ecDNA_1,ecDNA,['3:188963074-189028634'],[],[],0.211153865,65560.0,6.247038789,6.247038789,LowCN,GRCh37
TCGA-18-3415-01A-01D-A320-08_MN_11A-01D-A320,LUSC,2.0,TCGA-18-3415-01A-01D-A320-08_MN_11A-01D-A320_amplicon2_ecDNA_1,ecDNA,['12:91183801-91281518'],[],[],0.460335746,97717.0,4.722454672,6.966514997,LowCN,GRCh37
